source,competition_id,competition_source_id,season_id,season_name,match_id,team_id,team_source_id,is_home,possessions,ppda,ppda_final_third,high_press_pct,press_regain_time_sec,press_triggers_per_match,build_up_pass_share,gk_short_build_rate,cb_split_width,pivot_involvement_pct,vertical_compactness,line_height_def,line_height_att,transition_speed_sec,width_utilization_pct,cross_rate,central_overload_rate,through_ball_rate,set_piece_xg_share,passing_network_centralization,passing_clustering_coeff,passing_asymmetry,match_outcome
statsbomb,1,43,1,2022,17,15,780,True,55,4.690476190476191,5.315789473684211,19.767441860465116,126.1140350877193,7,3.6741214057507987,21.428571428571427,70.90000000000002,13.429394812680115,15.898347701149419,32.8875,48.78584770114942,59.24074074074074,29.233226837060705,0.16363636363636364,3.018181818181818,0.05454545454545454,0.667572844018205,0.4246153846153846,0.423504219900229,0.019169329073482427,W
statsbomb,1,43,1,2022,17,24,783,False,46,3.5569620253164556,4.026315789473684,27.200000000000003,104.15573770491804,6,4.5662100456621,44.44444444444444,61.95,10.521415270018622,17.30270087621177,30.862847222222225,48.165548098433995,119.56521739130434,28.31050228310502,0.2608695652173913,2.891304347826087,0.0,0.0,0.5879781420765028,0.4343383202547134,-0.14383561643835616,L
statsbomb,1,43,1,2022,18,13,768,True,52,1.380281690140845,1.069767441860465,36.633663366336634,93.24074074074075,14,1.6548463356973995,47.368421052631575,70.7625,15.2991452991453,9.086341930520021,39.61217948717948,48.6985214176995,50.84615384615385,28.959810874704488,0.25,4.423076923076923,0.0,0.021571713724216696,0.5927170868347339,0.43120335051627057,0.054373522458628844,W
statsbomb,1,43,1,2022,18,25,797,False,59,5.315068493150685,4.5588235294117645,19.858156028368796,93.17021276595744,16,8.906882591093117,46.666666666666664,81.22499999999998,8.579881656804734,19.157439414213503,24.86723163841808,44.02467105263158,143.3050847457627,39.67611336032389,0.15254237288135594,1.2203389830508475,0.01694915254237288,0.5382443388166138,0.5111607142857143,0.38083960311121745,0.044534412955465584,L
statsbomb,1,43,1,2022,19,26,1839,False,42,3.646153846153846,5.0,12.738853503184714,84.4320987654321,26,4.166666666666666,10.0,67.04999999999998,9.382329945269742,18.676707490482094,26.56007751937984,45.23678500986193,74.88095238095238,32.89473684210527,0.19047619047619047,3.0,0.0,0.0,0.6061224489795919,0.39950135189692026,-0.05482456140350877,D
statsbomb,1,43,1,2022,19,13,768,True,36,2.873015873015873,2.96875,28.155339805825243,105.21348314606742,9,2.9209621993127146,11.11111111111111,57.650000000000006,11.786600496277917,19.340198863636367,28.194444444444443,47.53464330808081,70.61111111111111,34.192439862542955,0.2777777777777778,4.611111111111111,0.0,0.0,0.5794871794871795,0.39294340088813906,-0.012027491408934709,D
statsbomb,1,43,1,2022,20,25,797,False,72,3.6142857142857143,3.3076923076923075,22.36024844720497,103.21232876712328,17,7.988980716253444,23.52941176470588,79.8,9.976798143851507,21.135362917096664,26.602941176470587,47.73830409356725,50.833333333333336,35.26170798898072,0.2638888888888889,1.5555555555555556,0.05555555555555555,0.0,0.5517730496453901,0.3887149233881452,-0.02203856749311295,W
statsbomb,1,43,1,2022,20,12,907,True,73,2.208955223880597,2.3333333333333335,40.0,61.52054794520548,0,3.3989266547406083,35.294117647058826,65.3,12.344057780695996,23.447359507747887,24.550469483568076,47.99782899131596,66.46478873239437,32.91592128801431,0.1780821917808219,2.1780821917808217,0.0684931506849315,0.0,0.5595238095238095,0.4005185956645655,0.014311270125223614,L
statsbomb,1,43,1,2022,21,20,3565,False,71,2.074468085106383,1.588235294117647,26.47058823529412,61.86178861788618,29,6.047516198704104,44.44444444444444,71.13749999999999,13.646877409406322,13.110768759616967,33.98899371069182,47.09976247030879,78.98571428571428,35.42116630669546,0.16901408450704225,1.9014084507042253,0.0,0.0,0.5204326923076923,0.3978365218114682,0.09071274298056156,D
statsbomb,1,43,1,2022,21,27,941,True,40,2.364864864864865,2.9285714285714284,17.037037037037038,144.33018867924528,18,3.260869565217391,45.83333333333333,71.86250000000001,10.480054090601758,14.226273350138975,27.853395061728392,42.07966841186737,89.7,35.14492753623188,0.075,3.65,0.025,0.0,0.5905923344947736,0.39499345759378535,0.05434782608695652,D
