source,competition_id,competition_source_id,season_id,season_name,match_id,team_id,team_source_id,player_source_id,minutes_played,touches,progressive_carries,progressive_passes,progressive_actions_per90,pass_completion_pct,dribble_success_pct,touch_quality,pressure_actions_per90,sprints_per90,tackles_won_per90,interceptions_per90,ball_recoveries_per90,xg,xa,xg_xa_per90,shot_creation_actions,final_third_entries,aerial_duel_win_pct,pressure_regains
statsbomb,1,43,2,2018,71,16,770,,93.96666666666667,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
statsbomb,1,43,2,2018,71,16,770,3186,89.96666666666667,173,5,10,15.005557613931085,90.56603773584906,71.42857142857143,0.011560693641618497,11.004075583549463,6.002223045572434,1.0003705075954057,0.0,3.001111522786217,0.260642691,0.0,0.2607392610967025,39,7,0.0,2
statsbomb,1,43,2,2018,71,16,770,3496,92.98333333333333,226,10,28,36.78078508693314,91.02564102564102,66.66666666666666,0.01327433628318584,14.518730955368344,4.839576985122782,0.0,0.0,4.839576985122782,0.034154605,0.0,0.0330587680587919,61,19,0.0,1
statsbomb,1,43,2,2018,71,16,770,5555,4.6,18,0,1,19.565217391304348,100.0,100.0,0.0,58.69565217391305,0.0,0.0,0.0,19.565217391304348,0.035709005,0.0,0.6986544456521739,4,0,0.0,0
statsbomb,1,43,2,2018,71,16,770,5557,85.98333333333333,75,2,0,2.093428959100601,82.35294117647058,0.0,0.013333333333333334,17.794146152355108,1.0467144795503005,0.0,0.0,5.2335723977515025,0.483696845,0.0,0.5062924913742973,10,0,0.0,0
statsbomb,1,43,2,2018,71,16,770,5559,31.966666666666665,89,1,3,11.261730969760167,75.86206896551724,0.0,0.011235955056179775,19.708029197080293,2.815432742440042,0.0,0.0,5.630865484880084,0.009542241,0.0,0.026865537747653805,20,1,0.0,1
statsbomb,1,43,2,2018,71,16,770,5562,91.98333333333333,167,0,6,5.870628737090053,65.38461538461539,0.0,0.017964071856287425,26.417829316905237,1.9568762456966842,0.9784381228483421,0.0,0.9784381228483421,0.0,0.0,0.0,36,2,0.0,5
statsbomb,1,43,2,2018,71,16,770,5565,11.916666666666666,12,1,1,15.104895104895105,50.0,0.0,0.0,15.104895104895105,0.0,0.0,0.0,7.5524475524475525,0.888384265,0.0,6.709475567832168,2,1,0.0,0
statsbomb,1,43,2,2018,71,16,770,5566,59.983333333333334,149,5,16,31.508752431230896,78.43137254901961,100.0,0.0,16.50458460683523,3.000833564879133,0.0,0.0,4.501250347318699,0.06585366,0.0,0.09880793664906917,21,9,0.0,1
statsbomb,1,43,2,2018,71,16,770,5569,77.96666666666667,75,3,8,12.697734074390766,83.33333333333334,0.0,0.0,3.463018383924754,1.1543394613082514,0.0,1.1543394613082514,1.1543394613082514,0.02910846,0.0,0.03360104403591278,16,5,0.0,0
statsbomb,1,43,2,2018,71,16,770,5570,92.93333333333334,38,0,9,8.715925394548062,88.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,3.873744619799139,0.0,0.0,0.0,1,0,0.0,0
statsbomb,1,43,2,2018,71,16,770,5572,90.98333333333333,84,1,14,14.83788239604323,97.22222222222221,0.0,0.0,15.827074555779447,1.9783843194724309,0.0,2.9675764792086463,3.9567686389448617,0.07167251,0.0,0.0708978849606155,8,3,0.0,1
